Date,PMR
17-Mar-19,284404.76
18-Mar-19,336210.73
19-Mar-19,357150.30
20-Mar-19,354796.54
21-Mar-19,349177.52
22-Mar-19,348844.54
23-Mar-19,299244.39
24-Mar-19,311750.39
25-Mar-19,364187.47
26-Mar-19,379963.89
27-Mar-19,392991.18
28-Mar-19,388325.09
29-Mar-19,379622.70
30-Mar-19,311769.13
31-Mar-19,281329.36
01-Apr-19,269676.77
02-Apr-19,284662.42
03-Apr-19,280118.79
04-Apr-19,300408.49
05-Apr-19,287379.92
06-Apr-19,238738.01
07-Apr-19,248853.53
08-Apr-19,300243.93
09-Apr-19,306336.92
10-Apr-19,316371.30
11-Apr-19,321226.97
12-Apr-19,331666.18
13-Apr-19,283696.72
14-Apr-19,289696.49
15-Apr-19,327776.19
16-Apr-19,320213.36
17-Apr-19,319119.91
18-Apr-19,321454.03
19-Apr-19,307926.03
20-Apr-19,267837.29
21-Apr-19,262621.85
22-Apr-19,324568.88
23-Apr-19,329794.03
24-Apr-19,342332.27
25-Apr-19,346669.44
26-Apr-19,324754.86
27-Apr-19,262494.11
28-Apr-19,279928.00
29-Apr-19,345557.38
30-Apr-19,326206.04
01-May-19,310436.50
02-May-19,321691.53
03-May-19,310416.57
04-May-19,253737.45
05-May-19,260063.33
06-May-19,313703.63
07-May-19,319148.01
08-May-19,330248.28
09-May-19,318327.86
10-May-19,305185.62
11-May-19,256366.32
12-May-19,262023.18
13-May-19,304186.86
14-May-19,312848.75
15-May-19,323453.60
16-May-19,318362.67
17-May-19,302015.22
18-May-19,261691.16
19-May-19,280025.38
20-May-19,334356.40
21-May-19,327800.76
22-May-19,332337.12
23-May-19,349673.70
24-May-19,332353.67
25-May-19,269470.92
26-May-19,276492.69
27-May-19,294807.01
28-May-19,343374.26
29-May-19,352049.93
30-May-19,338875.84
31-May-19,318818.70
01-Jun-19,252328.98
02-Jun-19,261474.04
03-Jun-19,318747.61
04-Jun-19,313631.55
05-Jun-19,325112.10
06-Jun-19,321929.23
07-Jun-19,307203.10
08-Jun-19,272234.78
09-Jun-19,283559.86
10-Jun-19,334462.50
11-Jun-19,339205.69
12-Jun-19,352012.52
13-Jun-19,357780.46
14-Jun-19,347049.60
15-Jun-19,296113.86
16-Jun-19,293210.15
17-Jun-19,369824.00
18-Jun-19,353351.03
19-Jun-19,358304.56
20-Jun-19,360794.48
21-Jun-19,374625.05
22-Jun-19,307256.59
23-Jun-19,310512.26
24-Jun-19,363271.93
25-Jun-19,384366.34
26-Jun-19,398522.76
27-Jun-19,415175.66
28-Jun-19,401342.16
29-Jun-19,324100.08
30-Jun-19,295436.04
01-Jul-19,297552.84
02-Jul-19,306933.99
03-Jul-19,304301.80
04-Jul-19,272208.03
05-Jul-19,297163.11
06-Jul-19,267293.67
07-Jul-19,260928.34
08-Jul-19,304159.26
09-Jul-19,320487.26
10-Jul-19,313911.98
11-Jul-19,330097.39
12-Jul-19,319692.96
13-Jul-19,285940.80
14-Jul-19,293000.85
15-Jul-19,341778.33
16-Jul-19,335060.22
17-Jul-19,336696.86
18-Jul-19,335952.69
19-Jul-19,321254.89
20-Jul-19,278363.29
21-Jul-19,288686.43
22-Jul-19,340305.69
23-Jul-19,337310.08
24-Jul-19,336012.83
25-Jul-19,354974.50
26-Jul-19,339359.30
27-Jul-19,298127.00
28-Jul-19,300012.28
29-Jul-19,330581.76
